,primary_term,permutation_1,permutation_2,permutation_3,permutation_4,permutation_5,permutation_6,permutation_7,permutation_8,permutation_9,permutation_10,permutation_11,permutation_12,permutation_13,permutation_14,permutation_15,permutation_16,permutation_17,permutation_18,permutation_19,permutation_20,permutation_21,permutation_22
903,WORM GEAR CLAMP,WG CLAMP,WORM GR CLAMP,WORM DRIVE CLAMP,WG HOSE CLAMP,WORM GEAR HSE CLAMP,WORM CLAMP,WGC,W/G CLAMP,W.G.C.,W-G-C,,,,,,,,,,,,
904,WRENCH,WRCH,WR,SPANNER,WRNCH,W.R.,W/R,WRENCH TOOL,HAND WRENCH,WRNC,WRENCH KEY,,,,,,,,,,,,
905,Y-TYPE STRAINER,Y STRAINER,Y TYPE STRN,Y-STRAINER,Y STR,Y-STR,WYES,Y-PATTERN STRAINER,Y PATTERN STR,Y TYP STRN,YTS,,,,,,,,,,,,
906,LOCK NUT,LN,LOCKNUT,LOCK-NUT,LOCK N,LCK NUT,LOCKING NUT,L NUT,L-NUT,L/NUT,L.N.,,,,,,,,,,,,
907,SHOWER HEAD,SHWR HEAD,SHW HEAD,SHOWER HD,SHWR HD,SH HEAD,SH HD,SHOWER H,SHWR H,S/HEAD,S/HD,,,,,,,,,,,,
908,SHOWERHEAD,SHOWER HEAD,SH HEAD,SHOWER-HEAD,S/HEAD,SH-HEAD,S HEAD,S-HEAD,S/H HEAD,SHR HEAD,SHWR HEAD,,,,,,,,,,,,
909,BOLT NUT,B/N,BOLT & NUT,BOLT AND NUT,BOLT/NUT,B&N,BLT/NUT,BOLT/NT,B-N,BN,BOLT-NUT,,,,,,,,,,,,
910,BULKHEAD TANK FITTING,BLKHD TNK FTG,BLKHD TANK FTG,BH TANK FTG,BULKHEAD FTG,BH TK FTG,BLKHD TK FITTING,BH TANK FITTING,TANK BULKHEAD,TK BLKHD FTG,BULK-HEAD FTG,,,,,,,,,,,,
911,UNION P TRAP,UNION P-TRAP,UNI P TRAP,UNI P-TRAP,U P TRAP,U P-TRAP,UNION PTRAP,UNI PTRAP,P-TRAP UNION,P TRAP UNION,U PTRAP,,,,,,,,,,,,
912,VENT PLUG,VNT PLG,VENT PLG,V PLUG,V PLG,VENTING PLUG,VENTPLG,VT PLG,V-PLG,V.PLG,VENT-PLG,,,,,,,,,,,,
913,SOCKET FLANGE,SKT FLG,SOCKET FLG,SO FLG,S.O. FLANGE,SO. FLANGE,S.O.F,SOF,SCKT FLANGE,SCKT FLG,S-O-F,,,,,,,,,,,,
914,VAN STONE SOCKET FLANGE,VS SOCKET FLANGE,VS SKT FLANGE,VS SKT FLG,VAN STONE SKT FLG,VANSTONE SOCKET FLG,VANSTONE SKT FLANGE,V.S. SOCKET FLANGE,V.S. SKT FLG,VAN-STONE SOCKET FLG,VS SOCKET FLG,,,,,,,,,,,,
915,VANSTONE,VAN STONE,VANSTON,VAN-STONE,VS FLANGE,VS FLG,VANSTONE FLANGE,VANSTONE FLG,VAN STONE FLANGE,VAN STONE FLG,VS,,,,,,,,,,,,
916,NAMUR,NAM,NMUR,NAMR,NMR,NAMUR VALVE,NAMUR VLV,NAM VLV,NAMUR SOLENOID,NAMUR SOL,NAM SOL,,,,,,,,,,,,
917,TEST CAP,TEST-CAP,TST CAP,TEST CP,TC,T-CAP,T CAP,TEST-C,TSTCAP,T.C.,TESTING CAP,,,,,,,,,,,,
918,SILICONE CAULK,SIL CAULK,SILCAULK,SIL CAULKING,SILICONE SEALANT,SIL SEALANT,SILCONE CAULK,SIL SEAL,SILICONE,SIL CK,SILCAULKING,,,,,,,,,,,,
919,3 BOLT D CLAMP,3-BOLT D CLAMP,3 BOLT D-CLAMP,3-BOLT D-CLAMP,D CLAMP 3 BOLT,D-CLAMP 3 BOLT,3B D CLAMP,3B D-CLAMP,3 BLT D CLAMP,3BLT D-CLAMP,THREE BOLT D CLAMP,,,,,,,,,,,,
920,AIR ELIMINATOR,AIR ELIM,A.E.,AIR ELMNTR,A/E,AIR ELMTR,AE,AIR-ELIM,AIR RELEASE,AIR VENT,AUTO AIR VENT,,,,,,,,,,,,
921,ALIGN CONNECTOR,ALIGN CONN,ALIGNMENT CONNECTOR,ALIGNMENT CONN,ALGN CONN,ALGN CONNECTOR,ALIGN CON,ALIGNMENT CON,ALGN CON,AL CONN,AL CONNECTOR,,,,,,,,,,,,
922,BAND CLAMP,BNDCLMP,BND CLMP,B CLAMP,BAND CLP,B CLP,BCLMP,B-CLAMP,BAND-CLAMP,B.CLAMP,BAND.CLAMP,,,,,,,,,,,,
923,BOSS LOCK COUPLING,BLC,BOSS LK CPLG,BOSS LOCK CPLG,BOSS LK COUPLING,B L COUPLING,B/L CPLG,BOSS-LOCK,B.L.C.,BOSS-LK,BOSSLOCK,,,,,,,,,,,,
924,BOSS LOCK DUST CAP,BOSS LK DUST CAP,BOSS-LOCK DUST CAP,BOSSLOK DUST CAP,BOSS LOCK DC,BOSS LK DC,BOSS-LOCK DC,BOSSLOK DC,BL DUST CAP,BOSS CAP,BLDC,,,,,,,,,,,,
925,BRACKET AND COUPLER,BRKT & CPLR,BRACKET & COUPLING,BRKT AND CPLNG,BRACKET/COUPLER,BRKT/CPLR,BRACKET W/COUPLER,BRKT W/CPLR,BRACKET & CPLR,BRCKT & CPLR,BRKT-CPLR,,,,,,,,,,,,
926,BRACKET COUPLER,BRKT CPLR,BRKT CPL,BRACKET CPL,BRKT COUPLER,BRCKT CPLR,BRCKT COUPLER,BKT CPLR,BKT COUPLER,BRKT-CPLR,BRACKET-COUPLER,,,,,,,,,,,,
927,BUG VENT,BV,BUG-VENT,BG VNT,BUG VT,B-VENT,BG VENT,BUGVENT,B VENT,B.V.,BG-VNT,,,,,,,,,,,,
928,CALIBRATION FASTENER,CAL FASTENER,CALIB FASTENER,CALIBR FASTENER,CAL FSTNR,CALIB FSTNR,CALIBRATION FSTNR,CAL-FASTENER,CALIB-FASTENER,CALIBR-FSTNR,CAL-FSTNR,,,,,,,,,,,,
929,CAMLOCK ADAPTER,CAM-LOCK ADAPTER,CAM LOCK ADPTR,CAMLOK ADAPTER,CAM-LOK ADAPTER,CAMLOCK ADPTR,CAM LOCK,CAM-LOCK,CAMLOK,CAM-LOK,CAMLOCK,,,,,,,,,,,,
930,CLAMP CAP,CAP CLP,CLP CAP,TRI CAP,TC CAP,TRICLAMP CAP,TRI-CLAMP CAP,TRI CLAMP CAP,SANITARY CAP,CLMP CAP,CLAMP END CAP,,,,,,,,,,,,
931,CLAMP FERRULE,CLMPFER,CLMP FER,CL FERRULE,CLAMP FER,C FERRULE,CLMP FERRULE,CL FER,CFERR,C FER,CLFERL,,,,,,,,,,,,
932,CLOSE NIPPLE,CLOSE NIP,CL NIP,CLN,CL NIPPLE,CLNIP,CL-NIP,CLOSE-NIP,C/NIP,C.N.,CN,,,,,,,,,,,,
933,CLOSET FLANGE,CLOS FLG,CLOS FLNG,CLOSET FLG,CLOSET FLNG,TOILET FLANGE,TOILET FLG,WC FLANGE,WC FLG,WATER CLOSET FLANGE,WATER CLOSET FLG,,,,,,,,,,,,
934,COMBINATION NIPPLE,COMBO NIPPLE,COMB NIP,COMB NIPP,COMBINATION NIP,COMBO NIP,COMB NPL,COMBO NPL,COMBINATION NPL,CMB NPL,COMB-NIP,,,,,,,,,,,,
935,COMPRESSION FITTING,COMP FTG,COMPRESSION FTG,COMP FITTING,COMP-FTG,COMP. FTG,COMPRESSION,COMP,COMP.FIT,COMP.FTG,COMPRESSION-FTG,,,,,,,,,,,,
936,COUPLER,CPLR,CPLNG,COUPLING,CPL,CPLG,COUP,CPLING,CPLN,CPLR-G,CPL-G,,,,,,,,,,,,
937,CROSS UNION,CROSS UN,X UNION,X UN,CRUN,CR UN,CROSS U,XU,CRU,XUNION,X-UNION,,,,,,,,,,,,
938,774. CUT OFF,774. CO,774.CUTOFF,774.C/O,774 CUT OFF,774 CO,774 C/O,774.C-O,774 C-O,774CUT-OFF,774C/O,,,,,,,,,,,,
939,DIELECTRIC CONNECTOR,DIEL CONN,DI-EL CONN,DIELECTRIC COUPLING,DIEL COUPLING,DI-EL COUPLING,DIEL UNION,DIELECTRIC UNION,DI-EL UNION,DIEL FTG,DIELECTRIC FTG,,,,,,,,,,,,
940,DOUBLE FERRULE,DBL FERRULE,DUAL FERRULE,DBL FER,DUAL FER,2X FERRULE,2-FERRULE,DOUBLE FER,TWO FERRULE,DBL-FER,DUAL-FER,,,,,,,,,,,,
941,DOUBLE PLUG FITTING,DBL PLUG FTG,DBL PLUG,DOUBLE PLUG FTG,2-PLUG FITTING,2XPLUG FITTING,DBL PLG FTG,DOUBLE PLG FTG,2XPLG FTG,2-PLG FTG,DBL-PLUG FTG,,,,,,,,,,,,
942,FEMALE CONNECTOR,FEM CONN,F CONN,FEMALE CONN,FEM CONNECTION,F CONNECTION,F-CONN,FEM-CONN,F/CONN,FEMALE FITTING,FEM FTG,,,,,,,,,,,,
943,HEADER,HDR,MANIFOLD,HEAD,HDDR,PIPE HEADER,DISTRIBUTION HEADER,SUPPLY HEADER,MAIN HEADER,RETURN HEADER,H.D.R,,,,,,,,,,,,
944,HEX HEAD NUT,HEX NUT,HH NUT,HEXNUT,HEX HD NUT,HEX HEAD N,HH N,H.H.N.,HEXAGONAL NUT,HEX N,HX NUT,,,,,,,,,,,,
945,HEX LONG NIPPLE,HEX LNG NIP,HEX LG NIP,HEXAGONAL LONG NIPPLE,HEX LONG NIP,HX LNG NIP,HEX L NIPPLE,HEXAGON LONG NIPPLE,HEX LONG NPL,HEX LNG NPL,HEXAGONAL LNG NIP,,,,,,,,,,,,
946,HEX REDUCER COUPLING,HEX RED CPLG,HEX RED COUPLING,HEX REDUCING CPLG,HEX REDUCING COUPLING,HEX RED CPLNG,HX RED CPLG,HEX RDC CPLG,HEX RDCR CPLG,HEX RDCR COUPLING,HX RDCR CPLG,,,,,,,,,,,,
947,HEX UNION NUT,HEX UN NUT,HEXAGONAL UNION NUT,HEX U NUT,HEX-UNION-NUT,HEX UNION N,HEXUN NUT,HEX-UN-NUT,HEXAGONAL UN NUT,HUN NUT,H.U.N.,,,,,,,,,,,,
948,HOSE CLAMP,HSE CLMP,H CLAMP,HOSE CLP,H/CLAMP,HSE CLP,HOSECLMP,H-CLAMP,HC CLAMP,HCLMP,H.CLAMP,,,,,,,,,,,,
949,LAP JOINT STUB END,LAP JT STUB END,LAP JOINT SE,LAP JT SE,LJSE,LJ STUB END,L.J.S.E.,STUB END LAP JOINT,STUB END LJ,LAP-JOINT STUB END,LAP JOINT STUBEND,,,,,,,,,,,,
950,LATCH LEVER,LTCH LVR,LATCH LVR,LTCH LEVER,L LEVER,L LVR,LEVER LATCH,LVR LATCH,LATCHING LEVER,LATCH-LEVER,LTCH-LVR,,,,,,,,,,,,
951,LINK SEAL,LINKSEAL,LINK-SEAL,LNK SEAL,LK SEAL,LINK-SL,L/SEAL,LSEAL,L-SEAL,L SEAL,LS,,,,,,,,,,,,
952,LIQUID GAUGE,LIQ GAUGE,LIQUID GG,LIQ GG,L GAUGE,LG,FLUID GAUGE,FLUID GG,FLD GAUGE,FLD GG,LVL GAUGE,,,,,,,,,,,,
953,LOCKING LEVER,LOCK LEVER,LCK LVR,LOCK LVR,LK LVR,LOCKING LVR,L/LEVER,L LEVER,LOCK-LEVER,L-LEVER,L.LEVER,,,,,,,,,,,,
954,LONG FERRULE,LG FERRULE,LONG FER,LG FER,LONG FRL,LG FRL,L FERRULE,L FER,LONG F,LNG FERRULE,LNG FER,,,,,,,,,,,,
955,MALE ADAPTER TYPE E,MALE ADPT TYPE E,M ADPTR TYPE E,MALE ADAPTER TY E,M ADAPTER TYPE E,MA TYPE E,MADPT TYPE E,M-ADPT-E,MALE ADPT E,M ADPT E,MALE E ADAPTER,,,,,,,,,,,,
956,MALE BRANCH TEE,MB TEE,M.B. TEE,MALE BR TEE,M/B TEE,M.B.T.,MBT,MALE B TEE,M BR TEE,M BRANCH T,MALE BR T,,,,,,,,,,,,
957,MALE PLUG,M PLUG,MPL,M PLG,ML PLUG,MALE PLG,M-PLUG,ML-PLG,M.PLUG,ML.PLG,M/PLG,,,,,,,,,,,,
958,MALE RUN TEE,M RUN TEE,MALE R TEE,M R TEE,MRT,M.R.T.,MALE R T,M RUN T,MALE RT,M RT,M-R-T,,,,,,,,,,,,
959,MUD DAUBER,MUD DBBER,MUD DABBER,MUD DAB,MUD DB,MD DAUBER,M DAUBER,MUDDAUBER,MUD-DAUBER,MUD.DAUBER,M.DAUBER,,,,,,,,,,,,
960,OCTAGONAL RING,OCT RING,OCTO RING,OCTAG RING,8-SIDED RING,OCTAGONAL SEAL RING,OCT SEAL RING,OCTAG SEAL RING,8-SIDED SEAL RING,OCT-RING,OCTO-RING,,,,,,,,,,,,
961,PATCH CLAMP,PATCH CLP,PTCH CLMP,PATCH,P CLAMP,P CLP,PCH CLMP,PTCH CLP,P.CLAMP,PCLMP,P.CLP,,,,,,,,,,,,
962,QUICK CONNECT BODY,QC BODY,QUICK-CONNECT BODY,Q/C BODY,QUICK CON BODY,Q-C BODY,QCB,QUICK CONN BODY,Q.C. BODY,QUICK-CON BODY,Q/CONNECT BODY,,,,,,,,,,,,
963,QUICK CONNECTOR,QUICK-CONN,QC,Q-CONN,QUICK CONNECT,Q/C,Q.C.,QUICK-CON,QCONN,Q CONN,QUICK CONNECTION,,,,,,,,,,,,
964,QUICK CONNECTOR PLUG,QC PLUG,QUICK CONN PLUG,Q/C PLUG,QUICK-CONN PLUG,Q.C. PLUG,QCP,QUICK COUPLING PLUG,QUICK-CONNECT PLUG,Q-C PLUG,QUICK DISC PLUG,,,,,,,,,,,,
965,QUICK COUPLING B,QC-B,Q/C-B,QUICK CPLG B,QCPLG-B,Q.C.B,QUICK COUPLER B,Q/CPLG-B,QUICK CPL B,Q-CPLG-B,QUICK-CPLG-B,,,,,,,,,,,,
966,REAR FERRULE,RR FERRULE,BACK FERRULE,REAR FER,RR FER,BACK FER,R FERRULE,R FER,RFERRULE,RFER,BFERRULE,,,,,,,,,,,,
967,REDUCER ADAPTER,RED ADPT,REDUCER ADPT,RED ADAPTER,REDUCING ADAPTER,RDCR ADPTR,RED-ADPT,REDUCER-ADAPTER,REDUCING-ADAPTER,RDCR ADAPTER,REDUCING ADPTR,,,,,,,,,,,,
968,804. REDUCER PORT CONNECTOR,804 REDUCER PORT CONN,804 RED PORT CONN,804. RED PORT CONN,804 REDUCER CONNECTOR,804. RED CONNECTOR,804 RED CONN,804. REDUCER PORT,804 PORT CONN,804. PORT CONN,804 CONN,,,,,,,,,,,,
969,REDUCER UNION,RED UNION,RED UN,RDR UNION,REDUCING UNION,RDCR UNION,RDCR UN,RED-UN,REDC UN,RDR UN,RDCR-UN,,,,,,,,,,,,
970,REDUCING CONNECTOR,RED CONN,RED CONNECTOR,REDUCING CONN,RED CON,REDCON,RDC CONN,RDCON,RC,REDUCING CONNECTION,REDUCER CONNECTOR,,,,,,,,,,,,
971,REPAIR CLAMP,REP CLMP,REPAIR CLMP,REP CLP,RCLMP,REPAIR CLP,RPR CLAMP,RPR CLMP,RPR CLP,R CLAMP,R CLMP,,,,,,,,,,,,
972,ROLLED ANGLE,ROLL ANGLE,RLD ANGLE,ROLLD ANGLE,R/A,RL ANGLE,ROLL ANG,RLD ANG,R ANGLE,R/ANGLE,RLLD ANGLE,,,,,,,,,,,,
973,ROUND BAR,RD BAR,ROUND,RND BAR,R/BAR,RD B,RND B,BAR ROUND,BAR RD,BAR RND,R BAR,,,,,,,,,,,,
974,ROUND HANDLE,RND HANDLE,RND HDL,ROUND HDL,RD HANDLE,RD HDL,ROUND HANDL,RND HANDL,RD HANDL,R HANDLE,R HDL,,,,,,,,,,,,
975,SAMPLING,SAMP,SAMPLE,SAMPL.,SAMP.,SMPL,SMPL.,SMPG,SMPG.,SAMP POINT,SAMPLE POINT,,,,,,,,,,,,
976,SHORT FEMALE FERRULE,SHORT FEM FERRULE,SH FEM FERRULE,SH F FERRULE,SHORT F FERRULE,SHRT FEM FERRULE,SHRT F FERRULE,SF FERRULE,SFF,SHORT FEM FER,SHORT F FER,,,,,,,,,,,,
977,SHORT FERRULE,SHRT FER,SHT FER,SHORT FER,SH FER,S/FER,SH FERRULE,SHRT FERRULE,S FERRULE,SHT FERRULE,S/FERRULE,,,,,,,,,,,,
978,SHORT WELD FERRULE,SHORT WLD FERRULE,SH WELD FERRULE,SH WLD FERRULE,SHORT FERRULE,SH FERRULE,SW FERRULE,S/W FERRULE,SHRT WLD FERRULE,SHRT FERRULE,SH-WLD FERRULE,,,,,,,,,,,,
979,SIDE OUTLET,S.O.,SO,S/O,SIDE OUT,SIDEOUT,SIDE-OUT,S-O,SD OUTLET,SIDE O,S OUTLET,,,,,,,,,,,,
980,SINGLE PLUG,SNGL PLUG,SGL PLUG,S PLUG,1 PLUG,SINGLE PLG,SNGL PLG,SGL PLG,S PLG,1 PLG,PLUG,,,,,,,,,,,,
981,SINK,SNK,BASIN,WASHBASIN,WASH BASIN,WASH-BASIN,WASH SNK,WASH-SNK,WASH SINK,WASH-SINK,WASHING SINK,,,,,,,,,,,,
982,SLIP ON ANGLE,SO ANGLE,S/O ANGLE,S.O. ANGLE,SLIP-ON ANGLE,SOP ANGLE,S-O ANGLE,SO ANG,S/O ANG,SLPON ANGLE,SLIP ON ANG,,,,,,,,,,,,
983,SLIP ON STUB END,SO STUB END,SLIP-ON STUB END,SL/ON STUB END,SLIP ON SE,SO SE,SOSE,S.O.S.E.,SLIP-ON SE,SLIP/ON SE,SO STUB,,,,,,,,,,,,
984,SPOOL COUPLER,SPOOL CPLG,SPL CPLR,SPOOL COUPLING,SPL COUPLING,SPOOL-CPLG,SP CPLR,SP-CPLG,SPOOL-COUPLING,SPL-CPLG,SP COUPLING,,,,,,,,,,,,
985,STRAINER CONNECTOR,STRNR CONN,STR CONN,STRAINER CONN,STRNR CONNECTION,STR CONNECTION,STRAIN CONNECTOR,STR CONNECTOR,STRN CONN,STRNR CNT,STR CNT,,,,,,,,,,,,
986,STREET CONNECTOR,ST CONN,STR CONN,STREET CONN,ST CONNECTOR,STR CONNECTOR,STRT CONN,STRT CONNECTOR,ST CNT,STREET CNT,STR CNT,,,,,,,,,,,,
987,TAG,IDENTIFIER,MARKING,LABEL,ID TAG,IDENT TAG,PIPE TAG,EQUIPMENT TAG,NAME TAG,LINE TAG,IDENTIFICATION TAG,,,,,,,,,,,,
988,TAPE,TAPE,TPE,ADHESIVE TAPE,INDUSTRIAL TAPE,SEALING TAPE,PIPE TAPE,PTFE TAPE,TEFLON TAPE,THREAD TAPE,THREAD SEAL TAPE,,,,,,,,,,,,
989,THREADED PIPE PLUG,THD PIPE PLUG,THRD PIPE PLUG,THD PP,THRD PP,PIPE PLUG THD,PIPE PLUG THRD,PP THD,PP THRD,THREAD PP,THREADED PP,,,,,,,,,,,,
990,THREADED PLUG,THD PLUG,THRD PLUG,TH PLUG,THREADED PLG,THD PLG,THRD PLG,THREAD PLG,SCREWED PLUG,SCR PLUG,SCRW PLUG,,,,,,,,,,,,
991,TUBE CLAMP,TB CLMP,TUBE CLMP,TB CLP,TUBECLAMP,TUB CLAMP,TUBING CLAMP,T CLAMP,T-CLAMP,T/CLAMP,TUBE CLP,,,,,,,,,,,,
992,TUBE CONNECTOR,TC,TUBE CONN,TUB CONN,TUBE CONNECTION,TUBING CONNECTOR,TUBE FITTING,TBE CONN,TB CONN,TUBE COUPLING,TUB CPL,,,,,,,,,,,,
993,TUBE NUT,TUBING NUT,TUBE NT,TUB NT,COMPRESSION NUT,COMP NUT,TUBE FITTING NUT,TBE NT,TB NT,COMPRESSION FITTING NUT,COMP FTG NUT,,,,,,,,,,,,
994,UNION ELBOW 90,UNION ELL 90,UN ELL 90,UN ELBOW 90,UNION 90 ELL,UN 90 ELL,UNION 90 ELBOW,UN 90 ELBOW,90 UNION ELBOW,90 UNION ELL,90 UN ELL,,,,,,,,,,,,
995,UNIVERSAL CONNECTOR,UNIV CONN,UNI CONN,UNIV CONNECTOR,UNIVERSAL CONN,U CONN,UNIV CNT,UNI CNT,UNIVERSAL CNT,U CNT,UC,,,,,,,,,,,,
996,WATER HEATER CONNECTOR,WHC,WTR HTR CONN,WATER HTR CONNECTOR,W/H CONNECTOR,WH CONN,WATER HEATER CONN,H2O HEATER CONNECTOR,H2O HTR CONN,W.H.C.,WATER HTR CNT,,,,,,,,,,,,
997,WELD,WLD,WELDED,WLDMT,WELDMENT,W,WD,WEL,WELD.,W.,WELD-,,,,,,,,,,,,
998,WELD NECK CLAMP,WN CLAMP,WN CLP,WELD NECK CLP,W.N. CLAMP,W/N CLAMP,WELDNECK CLAMP,WELDNECK CLP,W-N CLAMP,WN-CLAMP,W.N.C,,,,,,,,,,,,
999,WELD NECK HD CLAMP FLANGE,WN HD CLAMP FLANGE,WELD NECK HD CLMP FLG,WN HD CLMP FLG,WNHD CLAMP FLANGE,WNHD CLMP FLG,HD CLAMP WN FLANGE,HD CLMP WN FLG,HEAVY DUTY CLAMP WN FLANGE,HEAVY DUTY CLMP WN FLG,HD CLAMP WELD NECK FLG,,,,,,,,,,,,
1000,WELD NIPPLE,WLD NPLE,WELD NIP,WLD NIP,WELD NPPLE,WLD NIPPLE,W NIPPLE,W NIP,W NPLE,WELD-NIP,WLD-NIP,,,,,,,,,,,,
1001,WELD NIPPLE TOE,WLD NIP TOE,WELD NIP TOE,W NIP TOE,WN TOE,WELDING NIPPLE TOE,WELD NPL TOE,W NPL TOE,WLD NPL TOE,WLDG NIP TOE,WELD-NIPPLE-TOE,,,,,,,,,,,,
1002,WELD PIPE,WELDED PIPE,WLD PIPE,WELD PIP,WLD PIP,W PIPE,W PIP,WELD LINE,WELDED LINE,WLD LINE,W LINE,,,,,,,,,,,,
1003,HEAVY DUTY CLAMP,HD CLAMP,HEAVY DUTY CLMP,HD CLMP,HVY DTY CLAMP,H/D CLAMP,H.D. CLAMP,HEAVY-DUTY CLAMP,H-D CLAMP,HDC,HVY-DTY CLMP,,,,,,,,,,,,
1004,ADVANCED GROOVE,ADV GROOVE,ADV GRV,ADVNCD GROOVE,ADV. GROOVE,A GROOVE,A GRV,A.GROOVE,A.GRV,ADVANCED GRV,AG,,,,,,,,,,,,
1005,BREATHER VENT,BRTH VNT,BR VNT,BV,BVENT,BREATH VT,B VENT,BRTH-VNT,BR-VNT,BRTHVNT,B.V.,,,,,,,,,,,,
1006,BULL HEAD PLUG,BULLHEAD PLUG,BULL-HEAD PLUG,BH PLUG,B.H. PLUG,B-H PLUG,B/H PLUG,BH PLG,BULL HD PLG,BULL HEAD PLG,BULLHEAD PLG,,,,,,,,,,,,
1007,CLEVIS PIN,CLEV PIN,CLV PIN,CL PIN,CLVS PIN,CLEVIS,C PIN,CLEVS PIN,CLV P,CLEV P,CLP,,,,,,,,,,,,
1008,COMPRESSION UNION,COMP UNION,COMP UN,COMPRESSION UN,COMP UNN,COMPRESS UNION,CMP UNION,CMP UN,COMPR UNION,COMPR UN,COMPRESS UN,,,,,,,,,,,,
1009,TURNBUCKLE BODY,TB BODY,T/B BODY,TURNBUCKLE BDY,T-BUCKLE BODY,T/BUCKLE BODY,TURN-BUCKLE BODY,T.B. BODY,TRN BCKL BODY,TBKL BODY,TRNBKL BODY,,,,,,,,,,,,
1010,WIRE ROPE CLIP,WR CLIP,WIRE RP CLIP,WIRE ROPE CLP,W/R CLIP,WRC,WIRE CABLE CLIP,CABLE CLIP,W.R. CLIP,WIRE-ROPE CLIP,W/ROPE CLIP,,,,,,,,,,,,
1011,ENVELOPE,ENV,ENVLP,ENVELOP,ENVEL,ENVLPE,ENVP,ENV.,ENVL,ENVL.,E.N.V.,,,,,,,,,,,,
1012,I-LINE,I LINE,ILINE,I-LN,ILN,I LN,I.LINE,I_LINE,I.LN,INLINE,IN LINE,,,,,,,,,,,,
1013,T-HEAD NUT AND BOLT,T HEAD NUT & BOLT,THEAD NUT AND BOLT,T-HEAD N&B,T HD N&B,T HD NUT & BOLT,THEAD N&B,T-HEAD BOLT W/NUT,T HEAD BOLT WITH NUT,T-HEAD NB,THD N&B,,,,,,,,,,,,
1014,WAX RING,WAXRING,WAX-RING,WAX RNG,WX RNG,WX RING,WAX-RNG,WX-RNG,W/RING,WR,W RING,,,,,,,,,,,,
1015,HEX HEAD CAPSCREW,HEX HD CS,HHCS,HH CS,HEX HEAD CS,HEX HD CAPSCREW,H.H.C.S.,HEX CAP,HEX HD BOLT,HEX HEAD BOLT,HH BOLT,,,,,,,,,,,,
1016,WATER PIPE,WTR PIPE,H2O PIPE,WATER LINE,WTR LINE,H2O LINE,WATER PIPING,WTR PIPING,H2O PIPING,W PIPE,W.P.,,,,,,,,,,,,
1017,FABRICATED 2-PIECE,FAB 2-PC,FAB 2PC,FABRICATED TWO-PIECE,FAB TWO-PIECE,FAB TWO PC,FABR 2-PC,FABR 2PC,2-PC FAB,2PC FAB,TWO-PIECE FAB,,,,,,,,,,,,
1018,22-0.5 DEGREE ELBOW 2-PIECE,22.5° ELBOW 2PC,22.5 DEG ELL 2-PC,22.5° ELL 2 PIECE,22-1/2° ELBOW 2PC,22-1/2 DEG ELL 2-PC,22.5D ELBOW 2-PIECE,ELBOW 22.5° 2PC,ELL 22.5° 2-PIECE,22-1/2° 2PC ELBOW,22.5 DEG 2PC ELL,,,,,,,,,,,,
1019,WATER ANCHORED PIPE,WAP,W.A.P.,WATER-ANCHORED PIPE,WATER ANCHOR PIPE,WTR ANCHORED PIPE,WTR ANCHOR PIPE,WATER-ANCHOR PIPE,H2O ANCHORED PIPE,H2O ANCHOR PIPE,WATER ANCHRD PIPE,,,,,,,,,,,,
1020,11-0.25 ELBOW,11-1/4 ELBOW,11-0.25 ELL,11-1/4 ELL,ELBOW 11-0.25,ELL 11-0.25,ELBOW 11-1/4,ELL 11-1/4,11-0.25° ELBOW,11-0.25° ELL,11.25° ELBOW,,,,,,,,,,,,
1021,ELBOW 45,45 ELBOW,45° ELBOW,45 ELL,45° ELL,ELL 45,ELBOW 45°,45 DEG ELBOW,45 DEG ELL,ELL 45°,45-DEG ELBOW,,,,,,,,,,,,
1022,LONG RADIUS 90 ELBOW,LR 90 ELBOW,LR 90 ELL,LR 90° ELBOW,LR 90° ELL,LONG RAD 90 ELBOW,LONG RAD 90 ELL,L.R. 90 ELBOW,L.R. 90 ELL,ELBOW LR 90,ELL LR 90,,,,,,,,,,,,
1023,SHORT RADIUS 90 ELBOW,SR 90 ELBOW,SR 90 ELL,SR 90° ELBOW,SR 90° ELL,SHORT RAD 90 ELBOW,SHORT RAD 90 ELL,S.R. 90 ELBOW,S.R. 90 ELL,SHORT R 90 ELBOW,SHORT R 90 ELL,,,,,,,,,,,,
1024,STRAIGHT TEE,STR TEE,STRAIT TEE,STR T,STRAIGHT T,TEE STRAIGHT,EQUAL TEE,T STRAIGHT,STRGHT TEE,TEE STR,EQ TEE,,,,,,,,,,,,
1025,LONG RADIUS 45 ELBOW,LR 45 ELL,LR 45° ELBOW,LR 45 ELBOW,LR 45° ELL,LONG RAD 45 ELL,LONG RAD 45° ELBOW,LONG RADIUS 45° ELL,L.R. 45 ELBOW,L.R. 45° ELL,ELBOW LR 45,,,,,,,,,,,,
1026,ELBOW 45 DEGREE,45 DEG ELL,45° ELBOW,45 ELBOW,45° ELL,ELBOW 45°,ELL 45°,45 DEG ELBOW,45 DEGREE ELL,ELBOW 45 DEG,ELL 45 DEG,,,,,,,,,,,,
1027,90 DEGREE LONG RADIUS ELBOW,90 DEG LR ELBOW,90° LR ELL,90 LR ELBOW,LR 90 ELBOW,90 LR ELL,LONG RADIUS 90 ELL,90 LONG RAD ELBOW,LR 90° ELBOW,90 DEGREE LR ELL,ELBOW LR 90,,,,,,,,,,,,
