primary_term,permutation_1,permutation_2,permutation_3,permutation_4,permutation_5,permutation_6,permutation_7,permutation_8,permutation_9,permutation_10,permutation_11,permutation_12,permutation_13,permutation_14,permutation_15,permutation_16,permutation_17,permutation_18,permutation_19,permutation_20,permutation_21,permutation_22
NAMUR,NAM,NMUR,NAMR,NMR,NAMUR VALVE,NAMUR VLV,NAM VLV,NAMUR SOLENOID,NAMUR SOL,NAM SOL,,,,,,,,,,,,
TEST CAP,TEST-CAP,TST CAP,TEST CP,TC,T-CAP,T CAP,TEST-C,TSTCAP,T.C.,TESTING CAP,,,,,,,,,,,,
SILICONE CAULK,SIL CAULK,SILCAULK,SIL CAULKING,SILICONE SEALANT,SIL SEALANT,SILCONE CAULK,SIL SEAL,SILICONE,SIL CK,SILCAULKING,,,,,,,,,,,,
3 BOLT D CLAMP,3-BOLT D CLAMP,3 BOLT D-CLAMP,3-BOLT D-CLAMP,D CLAMP 3 BOLT,D-CLAMP 3 BOLT,3B D CLAMP,3B D-CLAMP,3 BLT D CLAMP,3BLT D-CLAMP,THREE BOLT D CLAMP,,,,,,,,,,,,
AIR ELIMINATOR,AIR ELIM,A.E.,AIR ELMNTR,A/E,AIR ELMTR,AE,AIR-ELIM,AIR RELEASE,AIR VENT,AUTO AIR VENT,,,,,,,,,,,,
ALIGN CONNECTOR,ALIGN CONN,ALIGNMENT CONNECTOR,ALIGNMENT CONN,ALGN CONN,ALGN CONNECTOR,ALIGN CON,ALIGNMENT CON,ALGN CON,AL CONN,AL CONNECTOR,,,,,,,,,,,,
BAND CLAMP,BNDCLMP,BND CLMP,B CLAMP,BAND CLP,B CLP,BCLMP,B-CLAMP,BAND-CLAMP,B.CLAMP,BAND.CLAMP,,,,,,,,,,,,
BOSS LOCK COUPLING,BLC,BOSS LK CPLG,BOSS LOCK CPLG,BOSS LK COUPLING,B L COUPLING,B/L CPLG,BOSS-LOCK,B.L.C.,BOSS-LK,BOSSLOCK,,,,,,,,,,,,
BOSS LOCK DUST CAP,BOSS LK DUST CAP,BOSS-LOCK DUST CAP,BOSSLOK DUST CAP,BOSS LOCK DC,BOSS LK DC,BOSS-LOCK DC,BOSSLOK DC,BL DUST CAP,BOSS CAP,BLDC,,,,,,,,,,,,
BRACKET AND COUPLER,BRKT & CPLR,BRACKET & COUPLING,BRKT AND CPLNG,BRACKET/COUPLER,BRKT/CPLR,BRACKET W/COUPLER,BRKT W/CPLR,BRACKET & CPLR,BRCKT & CPLR,BRKT-CPLR,,,,,,,,,,,,
BRACKET COUPLER,BRKT CPLR,BRKT CPL,BRACKET CPL,BRKT COUPLER,BRCKT CPLR,BRCKT COUPLER,BKT CPLR,BKT COUPLER,BRKT-CPLR,BRACKET-COUPLER,,,,,,,,,,,,
BUG VENT,BV,BUG-VENT,BG VNT,BUG VT,B-VENT,BG VENT,BUGVENT,B VENT,B.V.,BG-VNT,,,,,,,,,,,,
CALIBRATION FASTENER,CAL FASTENER,CALIB FASTENER,CALIBR FASTENER,CAL FSTNR,CALIB FSTNR,CALIBRATION FSTNR,CAL-FASTENER,CALIB-FASTENER,CALIBR-FSTNR,CAL-FSTNR,,,,,,,,,,,,
CAMLOCK ADAPTER,CAM-LOCK ADAPTER,CAM LOCK ADPTR,CAMLOK ADAPTER,CAM-LOK ADAPTER,CAMLOCK ADPTR,CAM LOCK,CAM-LOCK,CAMLOK,CAM-LOK,CAMLOCK,,,,,,,,,,,,
CLAMP CAP,CAP CLP,CLP CAP,TRI CAP,TC CAP,TRICLAMP CAP,TRI-CLAMP CAP,TRI CLAMP CAP,SANITARY CAP,CLMP CAP,CLAMP END CAP,,,,,,,,,,,,
CLAMP FERRULE,CLMPFER,CLMP FER,CL FERRULE,CLAMP FER,C FERRULE,CLMP FERRULE,CL FER,CFERR,C FER,CLFERL,,,,,,,,,,,,
CLOSE NIPPLE,CLOSE NIP,CL NIP,CLN,CL NIPPLE,CLNIP,CL-NIP,CLOSE-NIP,C/NIP,C.N.,CN,,,,,,,,,,,,
CLOSET FLANGE,CLOS FLG,CLOS FLNG,CLOSET FLG,CLOSET FLNG,TOILET FLANGE,TOILET FLG,WC FLANGE,WC FLG,WATER CLOSET FLANGE,WATER CLOSET FLG,,,,,,,,,,,,
COMBINATION NIPPLE,COMBO NIPPLE,COMB NIP,COMB NIPP,COMBINATION NIP,COMBO NIP,COMB NPL,COMBO NPL,COMBINATION NPL,CMB NPL,COMB-NIP,,,,,,,,,,,,
COMPRESSION FITTING,COMP FTG,COMPRESSION FTG,COMP FITTING,COMP-FTG,COMP. FTG,COMPRESSION,COMP,COMP.FIT,COMP.FTG,COMPRESSION-FTG,,,,,,,,,,,,
COUPLER,CPLR,CPLNG,COUPLING,CPL,CPLG,COUP,CPLING,CPLN,CPLR-G,CPL-G,,,,,,,,,,,,
CROSS UNION,CROSS UN,X UNION,X UN,CRUN,CR UN,CROSS U,XU,CRU,XUNION,X-UNION,,,,,,,,,,,,
774. CUT OFF,774. CO,774.CUTOFF,774.C/O,774 CUT OFF,774 CO,774 C/O,774.C-O,774 C-O,774CUT-OFF,774C/O,,,,,,,,,,,,
DIELECTRIC CONNECTOR,DIEL CONN,DI-EL CONN,DIELECTRIC COUPLING,DIEL COUPLING,DI-EL COUPLING,DIEL UNION,DIELECTRIC UNION,DI-EL UNION,DIEL FTG,DIELECTRIC FTG,,,,,,,,,,,,
DOUBLE FERRULE,DBL FERRULE,DUAL FERRULE,DBL FER,DUAL FER,2X FERRULE,2-FERRULE,DOUBLE FER,TWO FERRULE,DBL-FER,DUAL-FER,,,,,,,,,,,,
DOUBLE PLUG FITTING,DBL PLUG FTG,DBL PLUG,DOUBLE PLUG FTG,2-PLUG FITTING,2XPLUG FITTING,DBL PLG FTG,DOUBLE PLG FTG,2XPLG FTG,2-PLG FTG,DBL-PLUG FTG,,,,,,,,,,,,
FEMALE CONNECTOR,FEM CONN,F CONN,FEMALE CONN,FEM CONNECTION,F CONNECTION,F-CONN,FEM-CONN,F/CONN,FEMALE FITTING,FEM FTG,,,,,,,,,,,,
HEADER,HDR,MANIFOLD,HEAD,HDDR,PIPE HEADER,DISTRIBUTION HEADER,SUPPLY HEADER,MAIN HEADER,RETURN HEADER,H.D.R,,,,,,,,,,,,
HEX HEAD NUT,HEX NUT,HH NUT,HEXNUT,HEX HD NUT,HEX HEAD N,HH N,H.H.N.,HEXAGONAL NUT,HEX N,HX NUT,,,,,,,,,,,,
HEX LONG NIPPLE,HEX LNG NIP,HEX LG NIP,HEXAGONAL LONG NIPPLE,HEX LONG NIP,HX LNG NIP,HEX L NIPPLE,HEXAGON LONG NIPPLE,HEX LONG NPL,HEX LNG NPL,HEXAGONAL LNG NIP,,,,,,,,,,,,
HEX REDUCER COUPLING,HEX RED CPLG,HEX RED COUPLING,HEX REDUCING CPLG,HEX REDUCING COUPLING,HEX RED CPLNG,HX RED CPLG,HEX RDC CPLG,HEX RDCR CPLG,HEX RDCR COUPLING,HX RDCR CPLG,,,,,,,,,,,,
HEX UNION NUT,HEX UN NUT,HEXAGONAL UNION NUT,HEX U NUT,HEX-UNION-NUT,HEX UNION N,HEXUN NUT,HEX-UN-NUT,HEXAGONAL UN NUT,HUN NUT,H.U.N.,,,,,,,,,,,,
HOSE CLAMP,HSE CLMP,H CLAMP,HOSE CLP,H/CLAMP,HSE CLP,HOSECLMP,H-CLAMP,HC CLAMP,HCLMP,H.CLAMP,,,,,,,,,,,,
LAP JOINT STUB END,LAP JT STUB END,LAP JOINT SE,LAP JT SE,LJSE,LJ STUB END,L.J.S.E.,STUB END LAP JOINT,STUB END LJ,LAP-JOINT STUB END,LAP JOINT STUBEND,,,,,,,,,,,,
LATCH LEVER,LTCH LVR,LATCH LVR,LTCH LEVER,L LEVER,L LVR,LEVER LATCH,LVR LATCH,LATCHING LEVER,LATCH-LEVER,LTCH-LVR,,,,,,,,,,,,
LINK SEAL,LINKSEAL,LINK-SEAL,LNK SEAL,LK SEAL,LINK-SL,L/SEAL,LSEAL,L-SEAL,L SEAL,LS,,,,,,,,,,,,
LIQUID GAUGE,LIQ GAUGE,LIQUID GG,LIQ GG,L GAUGE,LG,FLUID GAUGE,FLUID GG,FLD GAUGE,FLD GG,LVL GAUGE,,,,,,,,,,,,
LOCKING LEVER,LOCK LEVER,LCK LVR,LOCK LVR,LK LVR,LOCKING LVR,L/LEVER,L LEVER,LOCK-LEVER,L-LEVER,L.LEVER,,,,,,,,,,,,
LONG FERRULE,LG FERRULE,LONG FER,LG FER,LONG FRL,LG FRL,L FERRULE,L FER,LONG F,LNG FERRULE,LNG FER,,,,,,,,,,,,
MALE ADAPTER TYPE E,MALE ADPT TYPE E,M ADPTR TYPE E,MALE ADAPTER TY E,M ADAPTER TYPE E,MA TYPE E,MADPT TYPE E,M-ADPT-E,MALE ADPT E,M ADPT E,MALE E ADAPTER,,,,,,,,,,,,
MALE BRANCH TEE,MB TEE,M.B. TEE,MALE BR TEE,M/B TEE,M.B.T.,MBT,MALE B TEE,M BR TEE,M BRANCH T,MALE BR T,,,,,,,,,,,,
MALE PLUG,M PLUG,MPL,M PLG,ML PLUG,MALE PLG,M-PLUG,ML-PLG,M.PLUG,ML.PLG,M/PLG,,,,,,,,,,,,
MALE RUN TEE,M RUN TEE,MALE R TEE,M R TEE,MRT,M.R.T.,MALE R T,M RUN T,MALE RT,M RT,M-R-T,,,,,,,,,,,,
MUD DAUBER,MUD DBBER,MUD DABBER,MUD DAB,MUD DB,MD DAUBER,M DAUBER,MUDDAUBER,MUD-DAUBER,MUD.DAUBER,M.DAUBER,,,,,,,,,,,,
OCTAGONAL RING,OCT RING,OCTO RING,OCTAG RING,8-SIDED RING,OCTAGONAL SEAL RING,OCT SEAL RING,OCTAG SEAL RING,8-SIDED SEAL RING,OCT-RING,OCTO-RING,,,,,,,,,,,,
PATCH CLAMP,PATCH CLP,PTCH CLMP,PATCH,P CLAMP,P CLP,PCH CLMP,PTCH CLP,P.CLAMP,PCLMP,P.CLP,,,,,,,,,,,,
QUICK CONNECT BODY,QC BODY,QUICK-CONNECT BODY,Q/C BODY,QUICK CON BODY,Q-C BODY,QCB,QUICK CONN BODY,Q.C. BODY,QUICK-CON BODY,Q/CONNECT BODY,,,,,,,,,,,,
QUICK CONNECTOR,QUICK-CONN,QC,Q-CONN,QUICK CONNECT,Q/C,Q.C.,QUICK-CON,QCONN,Q CONN,QUICK CONNECTION,,,,,,,,,,,,
QUICK CONNECTOR PLUG,QC PLUG,QUICK CONN PLUG,Q/C PLUG,QUICK-CONN PLUG,Q.C. PLUG,QCP,QUICK COUPLING PLUG,QUICK-CONNECT PLUG,Q-C PLUG,QUICK DISC PLUG,,,,,,,,,,,,
QUICK COUPLING B,QC-B,Q/C-B,QUICK CPLG B,QCPLG-B,Q.C.B,QUICK COUPLER B,Q/CPLG-B,QUICK CPL B,Q-CPLG-B,QUICK-CPLG-B,,,,,,,,,,,,
REAR FERRULE,RR FERRULE,BACK FERRULE,REAR FER,RR FER,BACK FER,R FERRULE,R FER,RFERRULE,RFER,BFERRULE,,,,,,,,,,,,
REDUCER ADAPTER,RED ADPT,REDUCER ADPT,RED ADAPTER,REDUCING ADAPTER,RDCR ADPTR,RED-ADPT,REDUCER-ADAPTER,REDUCING-ADAPTER,RDCR ADAPTER,REDUCING ADPTR,,,,,,,,,,,,
804. REDUCER PORT CONNECTOR,804 REDUCER PORT CONN,804 RED PORT CONN,804. RED PORT CONN,804 REDUCER CONNECTOR,804. RED CONNECTOR,804 RED CONN,804. REDUCER PORT,804 PORT CONN,804. PORT CONN,804 CONN,,,,,,,,,,,,
REDUCER UNION,RED UNION,RED UN,RDR UNION,REDUCING UNION,RDCR UNION,RDCR UN,RED-UN,REDC UN,RDR UN,RDCR-UN,,,,,,,,,,,,
REDUCING CONNECTOR,RED CONN,RED CONNECTOR,REDUCING CONN,RED CON,REDCON,RDC CONN,RDCON,RC,REDUCING CONNECTION,REDUCER CONNECTOR,,,,,,,,,,,,
REPAIR CLAMP,REP CLMP,REPAIR CLMP,REP CLP,RCLMP,REPAIR CLP,RPR CLAMP,RPR CLMP,RPR CLP,R CLAMP,R CLMP,,,,,,,,,,,,
ROLLED ANGLE,ROLL ANGLE,RLD ANGLE,ROLLD ANGLE,R/A,RL ANGLE,ROLL ANG,RLD ANG,R ANGLE,R/ANGLE,RLLD ANGLE,,,,,,,,,,,,
ROUND BAR,RD BAR,ROUND,RND BAR,R/BAR,RD B,RND B,BAR ROUND,BAR RD,BAR RND,R BAR,,,,,,,,,,,,
ROUND HANDLE,RND HANDLE,RND HDL,ROUND HDL,RD HANDLE,RD HDL,ROUND HANDL,RND HANDL,RD HANDL,R HANDLE,R HDL,,,,,,,,,,,,
SAMPLING,SAMP,SAMPLE,SAMPL.,SAMP.,SMPL,SMPL.,SMPG,SMPG.,SAMP POINT,SAMPLE POINT,,,,,,,,,,,,
SHORT FEMALE FERRULE,SHORT FEM FERRULE,SH FEM FERRULE,SH F FERRULE,SHORT F FERRULE,SHRT FEM FERRULE,SHRT F FERRULE,SF FERRULE,SFF,SHORT FEM FER,SHORT F FER,,,,,,,,,,,,
SHORT FERRULE,SHRT FER,SHT FER,SHORT FER,SH FER,S/FER,SH FERRULE,SHRT FERRULE,S FERRULE,SHT FERRULE,S/FERRULE,,,,,,,,,,,,
SHORT WELD FERRULE,SHORT WLD FERRULE,SH WELD FERRULE,SH WLD FERRULE,SHORT FERRULE,SH FERRULE,SW FERRULE,S/W FERRULE,SHRT WLD FERRULE,SHRT FERRULE,SH-WLD FERRULE,,,,,,,,,,,,
SIDE OUTLET,S.O.,SO,S/O,SIDE OUT,SIDEOUT,SIDE-OUT,S-O,SD OUTLET,SIDE O,S OUTLET,,,,,,,,,,,,
SINGLE PLUG,SNGL PLUG,SGL PLUG,S PLUG,1 PLUG,SINGLE PLG,SNGL PLG,SGL PLG,S PLG,1 PLG,PLUG,,,,,,,,,,,,
SINK,SNK,BASIN,WASHBASIN,WASH BASIN,WASH-BASIN,WASH SNK,WASH-SNK,WASH SINK,WASH-SINK,WASHING SINK,,,,,,,,,,,,
SLIP ON ANGLE,SO ANGLE,S/O ANGLE,S.O. ANGLE,SLIP-ON ANGLE,SOP ANGLE,S-O ANGLE,SO ANG,S/O ANG,SLPON ANGLE,SLIP ON ANG,,,,,,,,,,,,
SLIP ON STUB END,SO STUB END,SLIP-ON STUB END,SL/ON STUB END,SLIP ON SE,SO SE,SOSE,S.O.S.E.,SLIP-ON SE,SLIP/ON SE,SO STUB,,,,,,,,,,,,
SPOOL COUPLER,SPOOL CPLG,SPL CPLR,SPOOL COUPLING,SPL COUPLING,SPOOL-CPLG,SP CPLR,SP-CPLG,SPOOL-COUPLING,SPL-CPLG,SP COUPLING,,,,,,,,,,,,
STRAINER CONNECTOR,STRNR CONN,STR CONN,STRAINER CONN,STRNR CONNECTION,STR CONNECTION,STRAIN CONNECTOR,STR CONNECTOR,STRN CONN,STRNR CNT,STR CNT,,,,,,,,,,,,
STREET CONNECTOR,ST CONN,STR CONN,STREET CONN,ST CONNECTOR,STR CONNECTOR,STRT CONN,STRT CONNECTOR,ST CNT,STREET CNT,STR CNT,,,,,,,,,,,,
TAG,IDENTIFIER,MARKING,LABEL,ID TAG,IDENT TAG,PIPE TAG,EQUIPMENT TAG,NAME TAG,LINE TAG,IDENTIFICATION TAG,,,,,,,,,,,,
TAPE,TAPE,TPE,ADHESIVE TAPE,INDUSTRIAL TAPE,SEALING TAPE,PIPE TAPE,PTFE TAPE,TEFLON TAPE,THREAD TAPE,THREAD SEAL TAPE,,,,,,,,,,,,
THREADED PIPE PLUG,THD PIPE PLUG,THRD PIPE PLUG,THD PP,THRD PP,PIPE PLUG THD,PIPE PLUG THRD,PP THD,PP THRD,THREAD PP,THREADED PP,,,,,,,,,,,,
THREADED PLUG,THD PLUG,THRD PLUG,TH PLUG,THREADED PLG,THD PLG,THRD PLG,THREAD PLG,SCREWED PLUG,SCR PLUG,SCRW PLUG,,,,,,,,,,,,
TUBE CLAMP,TB CLMP,TUBE CLMP,TB CLP,TUBECLAMP,TUB CLAMP,TUBING CLAMP,T CLAMP,T-CLAMP,T/CLAMP,TUBE CLP,,,,,,,,,,,,
TUBE CONNECTOR,TC,TUBE CONN,TUB CONN,TUBE CONNECTION,TUBING CONNECTOR,TUBE FITTING,TBE CONN,TB CONN,TUBE COUPLING,TUB CPL,,,,,,,,,,,,
TUBE NUT,TUBING NUT,TUBE NT,TUB NT,COMPRESSION NUT,COMP NUT,TUBE FITTING NUT,TBE NT,TB NT,COMPRESSION FITTING NUT,COMP FTG NUT,,,,,,,,,,,,
UNION ELBOW 90,UNION ELL 90,UN ELL 90,UN ELBOW 90,UNION 90 ELL,UN 90 ELL,UNION 90 ELBOW,UN 90 ELBOW,90 UNION ELBOW,90 UNION ELL,90 UN ELL,,,,,,,,,,,,
UNIVERSAL CONNECTOR,UNIV CONN,UNI CONN,UNIV CONNECTOR,UNIVERSAL CONN,U CONN,UNIV CNT,UNI CNT,UNIVERSAL CNT,U CNT,UC,,,,,,,,,,,,
WATER HEATER CONNECTOR,WHC,WTR HTR CONN,WATER HTR CONNECTOR,W/H CONNECTOR,WH CONN,WATER HEATER CONN,H2O HEATER CONNECTOR,H2O HTR CONN,W.H.C.,WATER HTR CNT,,,,,,,,,,,,
WELD,WLD,WELDED,WLDMT,WELDMENT,W,WD,WEL,WELD.,W.,WELD-,,,,,,,,,,,,
WELD NECK CLAMP,WN CLAMP,WN CLP,WELD NECK CLP,W.N. CLAMP,W/N CLAMP,WELDNECK CLAMP,WELDNECK CLP,W-N CLAMP,WN-CLAMP,W.N.C,,,,,,,,,,,,
WELD NECK HD CLAMP FLANGE,WN HD CLAMP FLANGE,WELD NECK HD CLMP FLG,WN HD CLMP FLG,WNHD CLAMP FLANGE,WNHD CLMP FLG,HD CLAMP WN FLANGE,HD CLMP WN FLG,HEAVY DUTY CLAMP WN FLANGE,HEAVY DUTY CLMP WN FLG,HD CLAMP WELD NECK FLG,,,,,,,,,,,,
WELD NIPPLE,WLD NPLE,WELD NIP,WLD NIP,WELD NPPLE,WLD NIPPLE,W NIPPLE,W NIP,W NPLE,WELD-NIP,WLD-NIP,,,,,,,,,,,,
WELD NIPPLE TOE,WLD NIP TOE,WELD NIP TOE,W NIP TOE,WN TOE,WELDING NIPPLE TOE,WELD NPL TOE,W NPL TOE,WLD NPL TOE,WLDG NIP TOE,WELD-NIPPLE-TOE,,,,,,,,,,,,
WELD PIPE,WELDED PIPE,WLD PIPE,WELD PIP,WLD PIP,W PIPE,W PIP,WELD LINE,WELDED LINE,WLD LINE,W LINE,,,,,,,,,,,,
HEAVY DUTY CLAMP,HD CLAMP,HEAVY DUTY CLMP,HD CLMP,HVY DTY CLAMP,H/D CLAMP,H.D. CLAMP,HEAVY-DUTY CLAMP,H-D CLAMP,HDC,HVY-DTY CLMP,,,,,,,,,,,,
ADVANCED GROOVE,ADV GROOVE,ADV GRV,ADVNCD GROOVE,ADV. GROOVE,A GROOVE,A GRV,A.GROOVE,A.GRV,ADVANCED GRV,AG,,,,,,,,,,,,
BREATHER VENT,BRTH VNT,BR VNT,BV,BVENT,BREATH VT,B VENT,BRTH-VNT,BR-VNT,BRTHVNT,B.V.,,,,,,,,,,,,
BULL HEAD PLUG,BULLHEAD PLUG,BULL-HEAD PLUG,BH PLUG,B.H. PLUG,B-H PLUG,B/H PLUG,BH PLG,BULL HD PLG,BULL HEAD PLG,BULLHEAD PLG,,,,,,,,,,,,
CLEVIS PIN,CLEV PIN,CLV PIN,CL PIN,CLVS PIN,CLEVIS,C PIN,CLEVS PIN,CLV P,CLEV P,CLP,,,,,,,,,,,,
COMPRESSION UNION,COMP UNION,COMP UN,COMPRESSION UN,COMP UNN,COMPRESS UNION,CMP UNION,CMP UN,COMPR UNION,COMPR UN,COMPRESS UN,,,,,,,,,,,,
TURNBUCKLE BODY,TB BODY,T/B BODY,TURNBUCKLE BDY,T-BUCKLE BODY,T/BUCKLE BODY,TURN-BUCKLE BODY,T.B. BODY,TRN BCKL BODY,TBKL BODY,TRNBKL BODY,,,,,,,,,,,,
WIRE ROPE CLIP,WR CLIP,WIRE RP CLIP,WIRE ROPE CLP,W/R CLIP,WRC,WIRE CABLE CLIP,CABLE CLIP,W.R. CLIP,WIRE-ROPE CLIP,W/ROPE CLIP,,,,,,,,,,,,
ENVELOPE,ENV,ENVLP,ENVELOP,ENVEL,ENVLPE,ENVP,ENV.,ENVL,ENVL.,E.N.V.,,,,,,,,,,,,
I-LINE,I LINE,ILINE,I-LN,ILN,I LN,I.LINE,I_LINE,I.LN,INLINE,IN LINE,,,,,,,,,,,,
T-HEAD NUT AND BOLT,T HEAD NUT & BOLT,THEAD NUT AND BOLT,T-HEAD N&B,T HD N&B,T HD NUT & BOLT,THEAD N&B,T-HEAD BOLT W/NUT,T HEAD BOLT WITH NUT,T-HEAD NB,THD N&B,,,,,,,,,,,,
WAX RING,WAXRING,WAX-RING,WAX RNG,WX RNG,WX RING,WAX-RNG,WX-RNG,W/RING,WR,W RING,,,,,,,,,,,,
HEX HEAD CAPSCREW,HEX HD CS,HHCS,HH CS,HEX HEAD CS,HEX HD CAPSCREW,H.H.C.S.,HEX CAP,HEX HD BOLT,HEX HEAD BOLT,HH BOLT,,,,,,,,,,,,
WATER PIPE,WTR PIPE,H2O PIPE,WATER LINE,WTR LINE,H2O LINE,WATER PIPING,WTR PIPING,H2O PIPING,W PIPE,W.P.,,,,,,,,,,,,
FABRICATED 2-PIECE,FAB 2-PC,FAB 2PC,FABRICATED TWO-PIECE,FAB TWO-PIECE,FAB TWO PC,FABR 2-PC,FABR 2PC,2-PC FAB,2PC FAB,TWO-PIECE FAB,,,,,,,,,,,,
22-0.5 DEGREE ELBOW 2-PIECE,22.5° ELBOW 2PC,22.5 DEG ELL 2-PC,22.5° ELL 2 PIECE,22-1/2° ELBOW 2PC,22-1/2 DEG ELL 2-PC,22.5D ELBOW 2-PIECE,ELBOW 22.5° 2PC,ELL 22.5° 2-PIECE,22-1/2° 2PC ELBOW,22.5 DEG 2PC ELL,,,,,,,,,,,,
WATER ANCHORED PIPE,WAP,W.A.P.,WATER-ANCHORED PIPE,WATER ANCHOR PIPE,WTR ANCHORED PIPE,WTR ANCHOR PIPE,WATER-ANCHOR PIPE,H2O ANCHORED PIPE,H2O ANCHOR PIPE,WATER ANCHRD PIPE,,,,,,,,,,,,
11-0.25 ELBOW,11-1/4 ELBOW,11-0.25 ELL,11-1/4 ELL,ELBOW 11-0.25,ELL 11-0.25,ELBOW 11-1/4,ELL 11-1/4,11-0.25° ELBOW,11-0.25° ELL,11.25° ELBOW,,,,,,,,,,,,
ELBOW 45,45 ELBOW,45° ELBOW,45 ELL,45° ELL,ELL 45,ELBOW 45°,45 DEG ELBOW,45 DEG ELL,ELL 45°,45-DEG ELBOW,,,,,,,,,,,,
LONG RADIUS 90 ELBOW,LR 90 ELBOW,LR 90 ELL,LR 90° ELBOW,LR 90° ELL,LONG RAD 90 ELBOW,LONG RAD 90 ELL,L.R. 90 ELBOW,L.R. 90 ELL,ELBOW LR 90,ELL LR 90,,,,,,,,,,,,
SHORT RADIUS 90 ELBOW,SR 90 ELBOW,SR 90 ELL,SR 90° ELBOW,SR 90° ELL,SHORT RAD 90 ELBOW,SHORT RAD 90 ELL,S.R. 90 ELBOW,S.R. 90 ELL,SHORT R 90 ELBOW,SHORT R 90 ELL,,,,,,,,,,,,
STRAIGHT TEE,STR TEE,STRAIT TEE,STR T,STRAIGHT T,TEE STRAIGHT,EQUAL TEE,T STRAIGHT,STRGHT TEE,TEE STR,EQ TEE,,,,,,,,,,,,
LONG RADIUS 45 ELBOW,LR 45 ELL,LR 45° ELBOW,LR 45 ELBOW,LR 45° ELL,LONG RAD 45 ELL,LONG RAD 45° ELBOW,LONG RADIUS 45° ELL,L.R. 45 ELBOW,L.R. 45° ELL,ELBOW LR 45,,,,,,,,,,,,
ELBOW 45 DEGREE,45 DEG ELL,45° ELBOW,45 ELBOW,45° ELL,ELBOW 45°,ELL 45°,45 DEG ELBOW,45 DEGREE ELL,ELBOW 45 DEG,ELL 45 DEG,,,,,,,,,,,,
90 DEGREE LONG RADIUS ELBOW,90 DEG LR ELBOW,90° LR ELL,90 LR ELBOW,LR 90 ELBOW,90 LR ELL,LONG RADIUS 90 ELL,90 LONG RAD ELBOW,LR 90° ELBOW,90 DEGREE LR ELL,ELBOW LR 90,,,,,,,,,,,,
RISING STEM GATE VALVE,RSGV,RS GATE VLV,RISING STEM GV,R/S GATE VALVE,RS GTX VLV,R.S.G.V.,RISING STEM GT VLV,RS GATE VALVE,RISING-STEM GATE VLV,R-S GATE VALVE,,,,,,,,,,,,
PIPE ERW,ERW PIPE,ELECTRIC RESISTANCE WELDED PIPE,E.R.W. PIPE,ERW LINE PIPE,ELECTRIC RESISTANCE WELD,ERW,E R W PIPE,WELDED PIPE ERW,E.R.W,RESISTANCE WELDED PIPE,,,,,,,,,,,,
COMPOSITE GRAPHITE,COMP GRAPH,COMP GRPH,COMP-GRAPH,COMP-GRPH,C-GRAPH,C GRAPH,COMPOSITE-GRAPHITE,CMPSIT GRPHT,CMP GRPHT,COMP GR,,,,,,,,,,,,
SEAMLESS CONCENTRIC,SMLS CONCENTRIC,SMLS CONC,SMLSS CONCENTRIC,SEAMLESS CONC,SMLSS CONC,CONC SMLS,CONCENTRIC SMLS,S/L CONCENTRIC,S/L CONC,CONC S/L,,,,,,,,,,,,
ELBOW 90 STREET,90 STREET ELBOW,90° STREET ELBOW,90 STR ELBOW,90° STR ELBOW,90 ST ELBOW,90° ST ELBOW,STREET ELL 90,STR ELL 90,ST ELL 90,90 ST ELL,,,,,,,,,,,,
STREET ELBOW 90,STREET ELL 90,STR ELL 90,STR ELBOW 90,90 STREET ELBOW,90 STREET ELL,90 STR ELL,90 STR ELBOW,90° STREET ELBOW,90° STREET ELL,90° STR ELL,,,,,,,,,,,,
ELBOW 90 DEGREE,90 DEG ELBOW,90° ELBOW,90 ELBOW,90 DEG ELL,90° ELL,ELBOW 90,ELL 90,90 ELL,90D ELBOW,90D ELL,,,,,,,,,,,,
THREADED RAISED FACE,THD RF,THRD RF,THD RAISED FACE,THRD RAISED FACE,THREADED RF,TH RF,THD R.F.,THRD R.F.,TH R.F.,THD R/F,,,,,,,,,,,,
BLIND RAISED FACE,BRF,RF BLIND,BLIND RF,RAISED FACE BLIND,RF BLD,BLIND RF FLANGE,RF BLIND FLANGE,RAISED FACE BLIND FLANGE,BLD RF,R.F. BLIND,,,,,,,,,,,,
RING INNER,INNER RING,I/RING,I RING,I/R,I.R.,IR,INNER R,INT RING,INTERNAL RING,INT R,,,,,,,,,,,,
LATERALWYE,LATERAL WYE,LAT WYE,LAT-WYE,LATRL WYE,LTRL WYE,LAT Y,LATERAL Y,LATRL Y,WYE LAT,Y LAT,,,,,,,,,,,,
PIPE SEAMLESS,SMLS PIPE,SEAMLESS PIPE,S/L PIPE,PIPE S/L,SMLS LINE PIPE,S.L. PIPE,PIPE SMLS,SEAMLESS LINE PIPE,SML PIPE,PIPE (SMLS),,,,,,,,,,,,
876. SEAMLESS THREADED,876. SMLS THD,876. SMLS THRD,876. SMLSS THD,876. SEAMLESS THD,876. SMLSS THRD,876. SMLS THREADED,876. S/L THD,876. S/L THRD,876. SML THD,876. SML THRD,,,,,,,,,,,,
